switch_direction,n,mouse_prior_post_mean,model_prior_post_mean,abs_diff_means
0.2->0.8,29,0.44012043549195295,0.4365525972295566,0.0035678382623963723
0.5->0.2,1,0.6898316970816593,0.46977541148662566,0.2200562855950336
0.5->0.8,3,0.26476360923397885,0.4627107967933019,0.19794718755932306
0.8->0.2,30,0.6304123079507322,0.48722437064254326,0.14318793730818896
