switch_direction,n,mouse_prior_post_mean,model_prior_post_mean,abs_diff_means
0.2->0.8,29,0.44012043549195295,0.48037064064939117,0.04025020515743821
0.5->0.2,1,0.6898316970816593,0.550866761803627,0.13896493527803222
0.5->0.8,3,0.26476360923397885,0.4325747718413671,0.16781116260738826
0.8->0.2,30,0.6304123079507322,0.5516335164457058,0.07877879150502642
