created_utc,model,condition,run_name,checkpoint,best_epoch,val_choice_nll,val_rt_nll,val_choice_acc,val_loss,train_choice_nll,train_rt_nll,hidden_size,lr,lambda_rt
2026-07-21T22:55:31.574643+00:00,standard,history_only,default,/Users/shivamahdian/Desktop/Performance/artifacts/models/standard/history_only/default.pt,12,0.247380445626649,-0.956137592819604,0.8875365141187926,0.05615292489528656,0.2619106867846022,-1.3102674243297983,64,0.001,0.2
2026-07-21T22:55:31.574643+00:00,pc,history_only,default,/Users/shivamahdian/Desktop/Performance/artifacts/models/pc/history_only/default.pt,10,0.2892875323692958,-0.291324116741166,0.8704965920155794,0.23102270766641153,0.28043760470253354,-0.5271964550335356,64,0.001,0.2
2026-07-21T22:55:31.574643+00:00,bayes,history_only,default,/Users/shivamahdian/Desktop/Performance/artifacts/models/bayes/history_only/default.pt,12,0.551679660876592,1.5151471983302722,0.7419668938656281,0.8547091104767539,0.5586621897651795,1.2902389771126686,64,0.001,0.2
