switch_direction,n,mouse_prior_post_mean,model_prior_post_mean,abs_diff_means
0.2->0.8,29,0.44012043549195295,0.4346963795882653,0.0054240559036876634
0.5->0.2,1,0.6898316970816593,0.43636061549186705,0.2534710815897922
0.5->0.8,3,0.26476360923397885,0.42399865786234536,0.15923504862836652
0.8->0.2,30,0.6304123079507322,0.4323926129525759,0.1980196949981563
