model,split,n,corr,rmse,mae,switch_mse,n_switch_rows
standard,val+test,3619.0,-0.07333668703741363,0.3070835641497455,0.26933563302951474,0.09352112825989235,2543.0
pc,val+test,3619.0,0.20929839046937251,0.29341206599191966,0.2531108509760562,0.08511736542202251,2543.0
bayes,val+test,3619.0,0.7986743539838573,0.23459727608479608,0.20558609354009605,0.05445729816246231,2543.0
