slice,signed_contrast,n,p_right_mouse,p_right_model,model,condition
block_0.5,0.0625,44,0.5681818181818182,0.6537131898909468,standard,full_information
block_0.5,0.125,37,0.7567567567567568,0.7389779724180698,standard,full_information
block_0.5,0.25,29,0.8620689655172413,0.907103955745697,standard,full_information
block_0.5,1.0,29,1.0,0.9590912070767633,standard,full_information
block_0.8,-1.0,249,0.0642570281124498,0.08246139477541947,standard,full_information
block_0.8,-0.25,271,0.1070110701107011,0.10711603192182952,standard,full_information
block_0.8,-0.125,295,0.13220338983050847,0.15845057680981897,standard,full_information
block_0.8,-0.0625,239,0.2175732217573222,0.2428985610545835,standard,full_information
block_0.8,-0.0,320,0.275,0.28227481131179954,standard,full_information
block_0.8,0.0625,72,0.4305555555555556,0.4869241970332546,standard,full_information
block_0.8,0.125,70,0.5142857142857142,0.5508916671387851,standard,full_information
block_0.8,0.25,65,0.676923076923077,0.7265365297977741,standard,full_information
block_0.8,1.0,70,0.8285714285714286,0.8930805655462402,standard,full_information
all,-1.0,356,0.0898876404494382,0.15887492346797097,pc,full_information
all,-0.25,348,0.13505747126436782,0.1680129587800167,pc,full_information
all,-0.125,406,0.2019704433497537,0.24985760768756196,pc,full_information
all,-0.0625,335,0.31044776119402984,0.3429197139370797,pc,full_information
all,0.0,713,0.41374474053295934,0.4356075381183524,pc,full_information
all,0.0625,377,0.5755968169761273,0.582724385536634,pc,full_information
all,0.125,386,0.7150259067357513,0.6071503338804517,pc,full_information
all,0.25,337,0.8367952522255193,0.8300544476296852,pc,full_information
all,1.0,361,0.9335180055401662,0.8676238564408056,pc,full_information
block_0.2,-1.0,60,0.25,0.26461147094766296,pc,full_information
block_0.2,-0.25,55,0.23636363636363636,0.25128612951798873,pc,full_information
block_0.2,-0.125,70,0.44285714285714284,0.4889945293643645,pc,full_information
block_0.2,-0.0625,66,0.5757575757575758,0.5675027437056556,pc,full_information
block_0.2,0.0,323,0.5263157894736842,0.5751979105497477,pc,full_information
block_0.2,0.0625,261,0.6168582375478927,0.6371346697268359,pc,full_information
block_0.2,0.125,279,0.7598566308243727,0.6724640694463552,pc,full_information
