eid,region,model,status,n,ve_raw,ve_linear_recal,corr,confirmatory
1191f865-b10a-45c8-9c48-24a980fd9402,MOs,standard,ok_ood_behavior_core_checkpoint,944.0,-0.1968353297492411,0.1043921102617521,-0.323097679133961,True
1191f865-b10a-45c8-9c48-24a980fd9402,vlOFC_orbvl,standard,ok_ood_behavior_core_checkpoint,944.0,-0.1202935867970982,0.2122793883579139,-0.4607378738045245,True
