eid,region,model,condition,ve_raw,ve_linear_recal,corr,n,confirmatory
1191f865-b10a-45c8-9c48-24a980fd9402,MOs,tanh_bptt,history_only,-5.203157321211929,0.0853580415327294,0.2921609856444379,944.0,True
1191f865-b10a-45c8-9c48-24a980fd9402,MOs,gru,history_only,-5.155371387761753,0.1081049974334544,0.3287932442028796,944.0,True
1191f865-b10a-45c8-9c48-24a980fd9402,MOs,bayes,history_only,-3.0608889342558054,0.0504004669557293,0.2245004831970954,944.0,True
1191f865-b10a-45c8-9c48-24a980fd9402,vlOFC_orbvl,tanh_bptt,history_only,-0.4439921874258377,0.3460810632727992,0.5882865486077333,944.0,True
1191f865-b10a-45c8-9c48-24a980fd9402,vlOFC_orbvl,gru,history_only,-0.4012423641143976,0.3772072242814617,0.6141719826575139,944.0,True
1191f865-b10a-45c8-9c48-24a980fd9402,vlOFC_orbvl,bayes,history_only,-0.2757583304906961,0.2048466091549718,0.4525998333572072,944.0,True
