eid,region,model,condition,ve_raw,ve_linear_recal,corr,n,confirmatory
5455a21c-1be7-4cae-ae8e-8853a8d5f55e,ACAd,tanh_bptt,history_only,-7.118545786342125,0.07380564448104576,0.27167194275641715,620.0,False
5455a21c-1be7-4cae-ae8e-8853a8d5f55e,ACAd,tanh_pc,history_only,-7.147388071900018,0.011065010451192903,0.10519035341319623,620.0,False
5455a21c-1be7-4cae-ae8e-8853a8d5f55e,ACAd,gru,history_only,-7.093558876271805,0.06258562828580105,0.25017119795412324,620.0,False
5455a21c-1be7-4cae-ae8e-8853a8d5f55e,ACAd,gru_pc,history_only,-4.530252669601003,0.015959708643911608,0.1263317404451933,620.0,False
5455a21c-1be7-4cae-ae8e-8853a8d5f55e,MOp,tanh_bptt,history_only,-0.4993890537522121,0.30826604508303446,0.5552171152648616,620.0,False
5455a21c-1be7-4cae-ae8e-8853a8d5f55e,MOp,tanh_pc,history_only,-1.0881860693336791,0.08160236869874338,0.28566128316372097,620.0,False
5455a21c-1be7-4cae-ae8e-8853a8d5f55e,MOp,gru,history_only,-0.41116742733000944,0.33222267651351467,0.5763876096113748,620.0,False
5455a21c-1be7-4cae-ae8e-8853a8d5f55e,MOp,gru_pc,history_only,-0.532029622966806,0.10030166401702667,0.3167043795355957,620.0,False
2e6e179c-fccc-4e8f-9448-ce5b6858a183,MOs,tanh_bptt,history_only,-0.0948915427019219,0.39033640458107566,0.624769081005995,528.0,False
2e6e179c-fccc-4e8f-9448-ce5b6858a183,MOs,tanh_pc,history_only,-0.5115957776111371,0.13513331051789756,0.3676048292907721,528.0,False
2e6e179c-fccc-4e8f-9448-ce5b6858a183,MOs,gru,history_only,-0.03236732147015298,0.40779256618033877,0.6385863811422373,528.0,False
2e6e179c-fccc-4e8f-9448-ce5b6858a183,MOs,gru_pc,history_only,-0.15198347374538979,0.16559620367523298,0.40693513448120094,528.0,False
2e6e179c-fccc-4e8f-9448-ce5b6858a183,vlOFC_orbvl,tanh_bptt,history_only,-19.097628434825182,0.03735862658186728,0.19328379803249765,528.0,False
2e6e179c-fccc-4e8f-9448-ce5b6858a183,vlOFC_orbvl,tanh_pc,history_only,-15.794867557726551,0.005440518253466697,0.07375986885472945,528.0,False
2e6e179c-fccc-4e8f-9448-ce5b6858a183,vlOFC_orbvl,gru,history_only,-18.596107344802054,0.039112803596904167,0.19776957196925962,528.0,False
2e6e179c-fccc-4e8f-9448-ce5b6858a183,vlOFC_orbvl,gru_pc,history_only,-10.579994724034837,0.010298489607869388,0.10148147421017034,528.0,False
1191f865-b10a-45c8-9c48-24a980fd9402,MOs,tanh_bptt,history_only,-5.203157321211929,0.08535804153272941,0.2921609856444379,944.0,False
1191f865-b10a-45c8-9c48-24a980fd9402,MOs,tanh_pc,history_only,-3.782825554459019,0.04418507572955477,0.21020246366195344,944.0,False
1191f865-b10a-45c8-9c48-24a980fd9402,MOs,gru,history_only,-5.155371387761753,0.10810499743345447,0.3287932442028796,944.0,False
1191f865-b10a-45c8-9c48-24a980fd9402,MOs,gru_pc,history_only,-3.0847655823997764,0.04910042683727267,0.22158616120433294,944.0,False
1191f865-b10a-45c8-9c48-24a980fd9402,vlOFC_orbvl,tanh_bptt,history_only,-0.4439921874258377,0.3460810632727992,0.5882865486077333,944.0,False
1191f865-b10a-45c8-9c48-24a980fd9402,vlOFC_orbvl,tanh_pc,history_only,-0.592770257817546,0.14252415001471208,0.37752370788430234,944.0,False
1191f865-b10a-45c8-9c48-24a980fd9402,vlOFC_orbvl,gru,history_only,-0.4012423641143976,0.3772072242814617,0.6141719826575139,944.0,False
1191f865-b10a-45c8-9c48-24a980fd9402,vlOFC_orbvl,gru_pc,history_only,-0.4236670131384779,0.1588947266746893,0.39861601407205044,944.0,False
113c5b6c-940e-4b21-b462-789b4c2be0e5,MOs,tanh_bptt,history_only,-27.168084323261773,0.004215841291072997,0.0649295101712071,423.0,False
113c5b6c-940e-4b21-b462-789b4c2be0e5,MOs,tanh_pc,history_only,-23.942349790413587,0.004142350677936002,0.06436109599700664,423.0,False
113c5b6c-940e-4b21-b462-789b4c2be0e5,MOs,gru,history_only,-26.587952545495668,0.003757428740765012,0.061297868974092826,423.0,False
113c5b6c-940e-4b21-b462-789b4c2be0e5,MOs,gru_pc,history_only,-16.015651858363192,0.0042629101426298055,0.06529096524504531,423.0,False
113c5b6c-940e-4b21-b462-789b4c2be0e5,ACAd,tanh_bptt,history_only,-9.639979351892865,0.01777791533254469,0.1333338491627117,423.0,False
113c5b6c-940e-4b21-b462-789b4c2be0e5,ACAd,tanh_pc,history_only,-8.666085625800477,0.009737005729167914,0.09867626730459518,423.0,False
113c5b6c-940e-4b21-b462-789b4c2be0e5,ACAd,gru,history_only,-9.34682266601451,0.020463816272228375,0.14305179576722646,423.0,False
113c5b6c-940e-4b21-b462-789b4c2be0e5,ACAd,gru_pc,history_only,-5.3264522124445675,0.03390099019919246,0.1841222153874766,423.0,False
113c5b6c-940e-4b21-b462-789b4c2be0e5,MOp,tanh_bptt,history_only,-10.117176124820435,0.009426939423185399,0.09709242721852837,423.0,False
113c5b6c-940e-4b21-b462-789b4c2be0e5,MOp,tanh_pc,history_only,-9.113911648090806,0.0038093084006918243,0.061719594949187793,423.0,False
113c5b6c-940e-4b21-b462-789b4c2be0e5,MOp,gru,history_only,-9.708648830751141,0.015724882657092487,0.1253988941621586,423.0,False
113c5b6c-940e-4b21-b462-789b4c2be0e5,MOp,gru_pc,history_only,-5.964277825109677,0.007849938442020643,0.08859987834089074,423.0,False
4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a,MOs,tanh_bptt,history_only,-6.378702502216712,0.04575911387473064,0.21391380010352398,513.0,False
4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a,MOs,tanh_pc,history_only,-5.325406653945186,0.018671914866102535,0.13664521530629004,513.0,False
4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a,MOs,gru,history_only,-6.102638131750392,0.04599002401589092,0.2144528480013513,513.0,False
4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a,MOs,gru_pc,history_only,-3.591030086460149,0.0192472855470619,0.1387345867008721,513.0,False
4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a,vlOFC_orbvl,tanh_bptt,history_only,-218.5137728561259,0.005402119831371621,-0.0734991144937928,513.0,False
4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a,vlOFC_orbvl,tanh_pc,history_only,-173.37397800201038,0.003540790035074015,-0.05950453793681555,513.0,False
4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a,vlOFC_orbvl,gru,history_only,-210.44919005291962,0.0063531334437179066,-0.07970654580219705,513.0,False
4ecb5d24-f5cc-402c-be28-9d0f7cb14b3a,vlOFC_orbvl,gru_pc,history_only,-120.74568390188465,0.0029348137784432904,-0.054173921571574774,513.0,False
